
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0
[frame_225.zeroDeg.bin] Took 0.077888 ms.
[frame_226.zeroDeg.bin] Took 0.107040 ms.
[frame_227.zeroDeg.bin] Took 0.107008 ms.
[frame_228.zeroDeg.bin] Took 0.077280 ms.
[frame_229.zeroDeg.bin] Took 0.076224 ms.
[frame_230.zeroDeg.bin] Took 0.106304 ms.
[frame_231.zeroDeg.bin] Took 0.107904 ms.
[frame_232.zeroDeg.bin] Took 0.116160 ms.
[frame_233.zeroDeg.bin] Took 0.076032 ms.
[frame_234.zeroDeg.bin] Took 0.106688 ms.
[frame_235.zeroDeg.bin] Took 0.106240 ms.
[frame_236.zeroDeg.bin] Took 0.106912 ms.
[frame_237.zeroDeg.bin] Took 0.124896 ms.
[frame_238.zeroDeg.bin] Took 0.108064 ms.
[frame_239.zeroDeg.bin] Took 0.106176 ms.
[frame_240.zeroDeg.bin] Took 0.106496 ms.
[frame_241.zeroDeg.bin] Took 0.106496 ms.
[frame_242.zeroDeg.bin] Took 0.106528 ms.
[frame_243.zeroDeg.bin] Took 0.111520 ms.
[frame_244.zeroDeg.bin] Took 0.107904 ms.
[frame_245.zeroDeg.bin] Took 0.106944 ms.
[frame_246.zeroDeg.bin] Took 0.107360 ms.
[frame_247.zeroDeg.bin] Took 0.107520 ms.
[frame_248.zeroDeg.bin] Took 0.108064 ms.
[frame_249.zeroDeg.bin] Took 0.106496 ms.
[frame_250.zeroDeg.bin] Took 0.078784 ms.
[frame_251.zeroDeg.bin] Took 0.076416 ms.
[frame_252.zeroDeg.bin] Took 0.075776 ms.
[frame_253.zeroDeg.bin] Took 0.108224 ms.
[frame_254.zeroDeg.bin] Took 0.078272 ms.
[frame_255.zeroDeg.bin] Took 0.077408 ms.
[frame_256.zeroDeg.bin] Took 0.107616 ms.
[frame_257.zeroDeg.bin] Took 0.106496 ms.
[frame_258.zeroDeg.bin] Took 0.101184 ms.
[frame_259.zeroDeg.bin] Took 0.107200 ms.
[frame_260.zeroDeg.bin] Took 0.077824 ms.
[frame_261.zeroDeg.bin] Took 0.107008 ms.
[frame_262.zeroDeg.bin] Took 0.106944 ms.
[frame_263.zeroDeg.bin] Took 0.077312 ms.
[frame_264.zeroDeg.bin] Took 0.108576 ms.
[frame_265.zeroDeg.bin] Took 0.106656 ms.
[frame_266.zeroDeg.bin] Took 0.076416 ms.
[frame_267.zeroDeg.bin] Took 0.106720 ms.
[frame_268.zeroDeg.bin] Took 0.108544 ms.
[frame_269.zeroDeg.bin] Took 0.106624 ms.
[frame_270.zeroDeg.bin] Took 0.107648 ms.
[frame_271.zeroDeg.bin] Took 0.076992 ms.
[frame_272.zeroDeg.bin] Took 0.108000 ms.
[frame_273.zeroDeg.bin] Took 0.082080 ms.
[frame_274.zeroDeg.bin] Took 0.117056 ms.
[frame_275.zeroDeg.bin] Took 0.106816 ms.
[frame_276.zeroDeg.bin] Took 0.106496 ms.
[frame_277.zeroDeg.bin] Took 0.107840 ms.
[frame_278.zeroDeg.bin] Took 0.107616 ms.
[frame_279.zeroDeg.bin] Took 0.129856 ms.
[frame_280.zeroDeg.bin] Took 0.108352 ms.
[frame_281.zeroDeg.bin] Took 0.076000 ms.
[frame_282.zeroDeg.bin] Took 0.106240 ms.
[frame_283.zeroDeg.bin] Took 0.107328 ms.
[frame_284.zeroDeg.bin] Took 0.116000 ms.
[frame_285.zeroDeg.bin] Took 0.107072 ms.
[frame_286.zeroDeg.bin] Took 0.108544 ms.
[frame_287.zeroDeg.bin] Took 0.107488 ms.
[frame_288.zeroDeg.bin] Took 0.106816 ms.
[frame_289.zeroDeg.bin] Took 0.112864 ms.
[frame_290.zeroDeg.bin] Took 0.114112 ms.
[frame_291.zeroDeg.bin] Took 0.106496 ms.
[frame_292.zeroDeg.bin] Took 0.106720 ms.
[frame_293.zeroDeg.bin] Took 0.111072 ms.
[frame_294.zeroDeg.bin] Took 0.106496 ms.
[frame_295.zeroDeg.bin] Took 0.106528 ms.
[frame_296.zeroDeg.bin] Took 0.081920 ms.
[frame_297.zeroDeg.bin] Took 0.105952 ms.
[frame_298.zeroDeg.bin] Took 0.106208 ms.
[frame_299.zeroDeg.bin] Took 0.076992 ms.
[frame_300.zeroDeg.bin] Took 0.106496 ms.
[frame_301.zeroDeg.bin] Took 0.108544 ms.
[frame_302.zeroDeg.bin] Took 0.106496 ms.
[frame_303.zeroDeg.bin] Took 0.111392 ms.
[frame_304.zeroDeg.bin] Took 0.108576 ms.
[frame_305.zeroDeg.bin] Took 0.107360 ms.
[frame_306.zeroDeg.bin] Took 0.110848 ms.
[frame_307.zeroDeg.bin] Took 0.076096 ms.
[frame_308.zeroDeg.bin] Took 0.076960 ms.
[frame_309.zeroDeg.bin] Took 0.112640 ms.
[frame_310.zeroDeg.bin] Took 0.086112 ms.
[frame_311.zeroDeg.bin] Took 0.075904 ms.
[frame_312.zeroDeg.bin] Took 0.106592 ms.
[frame_313.zeroDeg.bin] Took 0.106080 ms.
[frame_314.zeroDeg.bin] Took 0.076384 ms.
[frame_315.zeroDeg.bin] Took 0.107712 ms.
[frame_316.zeroDeg.bin] Took 0.113696 ms.
[frame_317.zeroDeg.bin] Took 0.075936 ms.
[frame_318.zeroDeg.bin] Took 0.106368 ms.
[frame_319.zeroDeg.bin] Took 0.082016 ms.
[frame_320.zeroDeg.bin] Took 0.076352 ms.
[frame_321.zeroDeg.bin] Took 0.115360 ms.
[frame_322.zeroDeg.bin] Took 0.107072 ms.
[frame_323.zeroDeg.bin] Took 0.106496 ms.
[frame_324.zeroDeg.bin] Took 0.106624 ms.
[frame_325.zeroDeg.bin] Took 0.108128 ms.
[frame_326.zeroDeg.bin] Took 0.102144 ms.
[frame_327.zeroDeg.bin] Took 0.077312 ms.
[frame_328.zeroDeg.bin] Took 0.076416 ms.
[frame_329.zeroDeg.bin] Took 0.082112 ms.
[frame_330.zeroDeg.bin] Took 0.112096 ms.
[frame_331.zeroDeg.bin] Took 0.106720 ms.
[frame_332.zeroDeg.bin] Took 0.117344 ms.
[frame_333.zeroDeg.bin] Took 0.108352 ms.
[frame_334.zeroDeg.bin] Took 0.077600 ms.
[frame_335.zeroDeg.bin] Took 0.108000 ms.
[frame_336.zeroDeg.bin] Took 0.106496 ms.
[frame_337.zeroDeg.bin] Took 0.108640 ms.
[frame_338.zeroDeg.bin] Took 0.106080 ms.
[frame_339.zeroDeg.bin] Took 0.083968 ms.
[frame_340.zeroDeg.bin] Took 0.108544 ms.
[frame_341.zeroDeg.bin] Took 0.106848 ms.
[frame_342.zeroDeg.bin] Took 0.112832 ms.
[frame_343.zeroDeg.bin] Took 0.108000 ms.
[frame_344.zeroDeg.bin] Took 0.076032 ms.
[frame_345.zeroDeg.bin] Took 0.113888 ms.
[frame_346.zeroDeg.bin] Took 0.107040 ms.
[frame_347.zeroDeg.bin] Took 0.104448 ms.
[frame_348.zeroDeg.bin] Took 0.108448 ms.
[frame_349.zeroDeg.bin] Took 0.111520 ms.
[frame_350.zeroDeg.bin] Took 0.077536 ms.
[frame_351.zeroDeg.bin] Took 0.108512 ms.
[frame_352.zeroDeg.bin] Took 0.120992 ms.
[frame_353.zeroDeg.bin] Took 0.107232 ms.
[frame_354.zeroDeg.bin] Took 0.106144 ms.
[frame_355.zeroDeg.bin] Took 0.114016 ms.
[frame_356.zeroDeg.bin] Took 0.106496 ms.
[frame_357.zeroDeg.bin] Took 0.116096 ms.
[frame_358.zeroDeg.bin] Took 0.080928 ms.
[frame_359.zeroDeg.bin] Took 0.107872 ms.
[frame_360.zeroDeg.bin] Took 0.106624 ms.
[frame_361.zeroDeg.bin] Took 0.107200 ms.
[frame_362.zeroDeg.bin] Took 0.122272 ms.
[frame_363.zeroDeg.bin] Took 0.108384 ms.
[frame_364.zeroDeg.bin] Took 0.105568 ms.
[frame_365.zeroDeg.bin] Took 0.114048 ms.
[frame_366.zeroDeg.bin] Took 0.108192 ms.
[frame_367.zeroDeg.bin] Took 0.136896 ms.
[frame_368.zeroDeg.bin] Took 0.112736 ms.
[frame_369.zeroDeg.bin] Took 0.106592 ms.
[frame_370.zeroDeg.bin] Took 0.106688 ms.
[frame_371.zeroDeg.bin] Took 0.106880 ms.
[frame_372.zeroDeg.bin] Took 0.119264 ms.
[frame_373.zeroDeg.bin] Took 0.106816 ms.
[frame_374.zeroDeg.bin] Took 0.106752 ms.
[frame_375.zeroDeg.bin] Took 0.112832 ms.
[frame_376.zeroDeg.bin] Took 0.107296 ms.
[frame_377.zeroDeg.bin] Took 0.113344 ms.
[frame_378.zeroDeg.bin] Took 0.114016 ms.
[frame_379.zeroDeg.bin] Took 0.076992 ms.
[frame_380.zeroDeg.bin] Took 0.108128 ms.
[frame_381.zeroDeg.bin] Took 0.107040 ms.
[frame_382.zeroDeg.bin] Took 0.084896 ms.
[frame_383.zeroDeg.bin] Took 0.106400 ms.
[frame_384.zeroDeg.bin] Took 0.106496 ms.
[frame_385.zeroDeg.bin] Took 0.112320 ms.
[frame_386.zeroDeg.bin] Took 0.107776 ms.
[frame_387.zeroDeg.bin] Took 0.116128 ms.
[frame_388.zeroDeg.bin] Took 0.112704 ms.
[frame_389.zeroDeg.bin] Took 0.107296 ms.
[frame_390.zeroDeg.bin] Took 0.105952 ms.
[frame_391.zeroDeg.bin] Took 0.111584 ms.
[frame_392.zeroDeg.bin] Took 0.114784 ms.
[frame_393.zeroDeg.bin] Took 0.078016 ms.
[frame_394.zeroDeg.bin] Took 0.107488 ms.
[frame_395.zeroDeg.bin] Took 0.112640 ms.
[frame_396.zeroDeg.bin] Took 0.107168 ms.
[frame_397.zeroDeg.bin] Took 0.117376 ms.
[frame_398.zeroDeg.bin] Took 0.113056 ms.
[frame_399.zeroDeg.bin] Took 0.106528 ms.
[frame_400.zeroDeg.bin] Took 0.107008 ms.
[frame_401.zeroDeg.bin] Took 0.112160 ms.
[frame_402.zeroDeg.bin] Took 0.116608 ms.
[frame_403.zeroDeg.bin] Took 0.107712 ms.
[frame_404.zeroDeg.bin] Took 0.107808 ms.
[frame_405.zeroDeg.bin] Took 0.108320 ms.
[frame_406.zeroDeg.bin] Took 0.077056 ms.
[frame_407.zeroDeg.bin] Took 0.128608 ms.
[frame_408.zeroDeg.bin] Took 0.112832 ms.
[frame_409.zeroDeg.bin] Took 0.107136 ms.
[frame_410.zeroDeg.bin] Took 0.106496 ms.
[frame_411.zeroDeg.bin] Took 0.114144 ms.
[frame_412.zeroDeg.bin] Took 0.117632 ms.
[frame_413.zeroDeg.bin] Took 0.106816 ms.
[frame_414.zeroDeg.bin] Took 0.112544 ms.
[frame_415.zeroDeg.bin] Took 0.107584 ms.
[frame_416.zeroDeg.bin] Took 0.107232 ms.
[frame_417.zeroDeg.bin] Took 0.117760 ms.
[frame_418.zeroDeg.bin] Took 0.107648 ms.
[frame_419.zeroDeg.bin] Took 0.077824 ms.
[frame_420.zeroDeg.bin] Took 0.107712 ms.
[frame_421.zeroDeg.bin] Took 0.113088 ms.
[frame_422.zeroDeg.bin] Took 0.076352 ms.
[frame_423.zeroDeg.bin] Took 0.108544 ms.
[frame_424.zeroDeg.bin] Took 0.082208 ms.
[frame_425.zeroDeg.bin] Took 0.076192 ms.
[frame_426.zeroDeg.bin] Took 0.106528 ms.
[frame_427.zeroDeg.bin] Took 0.107072 ms.
[frame_428.zeroDeg.bin] Took 0.106528 ms.
[frame_429.zeroDeg.bin] Took 0.107424 ms.
[frame_430.zeroDeg.bin] Took 0.108512 ms.
[frame_431.zeroDeg.bin] Took 0.112480 ms.
[frame_432.zeroDeg.bin] Took 0.106528 ms.
[frame_433.zeroDeg.bin] Took 0.107008 ms.
[frame_434.zeroDeg.bin] Took 0.081888 ms.
[frame_435.zeroDeg.bin] Took 0.077312 ms.
[frame_436.zeroDeg.bin] Took 0.076992 ms.
[frame_437.zeroDeg.bin] Took 0.112640 ms.
[frame_438.zeroDeg.bin] Took 0.118016 ms.
[frame_439.zeroDeg.bin] Took 0.106144 ms.
[frame_440.zeroDeg.bin] Took 0.077024 ms.
[frame_441.zeroDeg.bin] Took 0.110720 ms.
[frame_442.zeroDeg.bin] Took 0.108960 ms.
[frame_443.zeroDeg.bin] Took 0.106880 ms.
[frame_444.zeroDeg.bin] Took 0.083328 ms.
[frame_445.zeroDeg.bin] Took 0.076480 ms.
[frame_446.zeroDeg.bin] Took 0.077408 ms.
[frame_447.zeroDeg.bin] Took 0.114688 ms.
[frame_448.zeroDeg.bin] Took 0.076704 ms.
[frame_449.zeroDeg.bin] Took 0.108544 ms.
[frame_450.zeroDeg.bin] Took 0.076768 ms.
[frame_451.zeroDeg.bin] Took 0.108544 ms.
[frame_452.zeroDeg.bin] Took 0.076288 ms.
[frame_453.zeroDeg.bin] Took 0.107584 ms.
[frame_454.zeroDeg.bin] Took 0.123008 ms.
[frame_455.zeroDeg.bin] Took 0.107488 ms.
[frame_456.zeroDeg.bin] Took 0.107584 ms.
[frame_457.zeroDeg.bin] Took 0.114080 ms.
[frame_458.zeroDeg.bin] Took 0.075776 ms.
[frame_459.zeroDeg.bin] Took 0.084032 ms.
[frame_460.zeroDeg.bin] Took 0.112896 ms.
[frame_461.zeroDeg.bin] Took 0.077856 ms.
[frame_462.zeroDeg.bin] Took 0.076512 ms.
[frame_463.zeroDeg.bin] Took 0.106656 ms.
[frame_464.zeroDeg.bin] Took 0.107392 ms.
[frame_465.zeroDeg.bin] Took 0.077824 ms.
[frame_466.zeroDeg.bin] Took 0.107584 ms.
[frame_467.zeroDeg.bin] Took 0.112896 ms.
[frame_468.zeroDeg.bin] Took 0.077184 ms.
[frame_469.zeroDeg.bin] Took 0.107680 ms.
[frame_470.zeroDeg.bin] Took 0.086016 ms.
[frame_471.zeroDeg.bin] Took 0.077792 ms.
[frame_472.zeroDeg.bin] Took 0.076448 ms.
[frame_473.zeroDeg.bin] Took 0.113408 ms.
[frame_474.zeroDeg.bin] Took 0.076448 ms.
[frame_475.zeroDeg.bin] Took 0.085024 ms.
[frame_476.zeroDeg.bin] Took 0.077216 ms.
[frame_477.zeroDeg.bin] Took 0.113568 ms.
[frame_478.zeroDeg.bin] Took 0.108544 ms.
[frame_479.zeroDeg.bin] Took 0.076288 ms.
[frame_480.zeroDeg.bin] Took 0.112640 ms.
[frame_481.zeroDeg.bin] Took 0.108544 ms.
[frame_482.zeroDeg.bin] Took 0.106496 ms.
[frame_483.zeroDeg.bin] Took 0.112672 ms.
[frame_484.zeroDeg.bin] Took 0.076128 ms.
[frame_485.zeroDeg.bin] Took 0.106496 ms.
[frame_486.zeroDeg.bin] Took 0.107392 ms.
[frame_487.zeroDeg.bin] Took 0.105440 ms.
[frame_488.zeroDeg.bin] Took 0.107648 ms.
[frame_489.zeroDeg.bin] Took 0.076864 ms.
[frame_490.zeroDeg.bin] Took 0.113280 ms.
[frame_491.zeroDeg.bin] Took 0.115712 ms.
[frame_492.zeroDeg.bin] Took 0.076192 ms.
