
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0

Using UVM input data.
[frame_273.zeroDeg.bin] Took 0.101664 ms.
[frame_274.zeroDeg.bin] Took 0.101024 ms.
[frame_275.zeroDeg.bin] Took 0.100608 ms.
[frame_276.zeroDeg.bin] Took 0.099232 ms.
[frame_277.zeroDeg.bin] Took 0.099520 ms.
[frame_278.zeroDeg.bin] Took 0.100128 ms.
[frame_279.zeroDeg.bin] Took 0.100352 ms.
[frame_280.zeroDeg.bin] Took 0.112192 ms.
Took 148.710770 ms to process 281 frames.
ms per Frame: 0.529220, FPS: 1889.573975.
Used GPU implementation.
