
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0
[frame_231.zeroDeg.bin] Took 0.103648 ms.
[frame_232.zeroDeg.bin] Took 0.118784 ms.
[frame_233.zeroDeg.bin] Took 0.102592 ms.
[frame_234.zeroDeg.bin] Took 0.104384 ms.
[frame_235.zeroDeg.bin] Took 0.103392 ms.
[frame_236.zeroDeg.bin] Took 0.130688 ms.
[frame_237.zeroDeg.bin] Took 0.104960 ms.
[frame_238.zeroDeg.bin] Took 0.104288 ms.
[frame_239.zeroDeg.bin] Took 0.104128 ms.
[frame_240.zeroDeg.bin] Took 0.102592 ms.
[frame_241.zeroDeg.bin] Took 0.136288 ms.
[frame_242.zeroDeg.bin] Took 0.106944 ms.
[frame_243.zeroDeg.bin] Took 0.104576 ms.
[frame_244.zeroDeg.bin] Took 0.103456 ms.
[frame_245.zeroDeg.bin] Took 0.104288 ms.
[frame_246.zeroDeg.bin] Took 0.104448 ms.
[frame_247.zeroDeg.bin] Took 0.103328 ms.
[frame_248.zeroDeg.bin] Took 0.114816 ms.
[frame_249.zeroDeg.bin] Took 0.103040 ms.
[frame_250.zeroDeg.bin] Took 0.098624 ms.
[frame_251.zeroDeg.bin] Took 0.103808 ms.
[frame_252.zeroDeg.bin] Took 0.106496 ms.
[frame_253.zeroDeg.bin] Took 0.116960 ms.
[frame_254.zeroDeg.bin] Took 0.105824 ms.
[frame_255.zeroDeg.bin] Took 0.104128 ms.
[frame_256.zeroDeg.bin] Took 0.102560 ms.
[frame_257.zeroDeg.bin] Took 0.122880 ms.
[frame_258.zeroDeg.bin] Took 0.104736 ms.
[frame_259.zeroDeg.bin] Took 0.102400 ms.
[frame_260.zeroDeg.bin] Took 0.102624 ms.
[frame_261.zeroDeg.bin] Took 0.104448 ms.
[frame_262.zeroDeg.bin] Took 0.138432 ms.
[frame_263.zeroDeg.bin] Took 0.108320 ms.
[frame_264.zeroDeg.bin] Took 0.102688 ms.
[frame_265.zeroDeg.bin] Took 0.106624 ms.
[frame_266.zeroDeg.bin] Took 0.107200 ms.
[frame_267.zeroDeg.bin] Took 0.126400 ms.
[frame_268.zeroDeg.bin] Took 0.112096 ms.
[frame_269.zeroDeg.bin] Took 0.104064 ms.
[frame_270.zeroDeg.bin] Took 0.104416 ms.
[frame_271.zeroDeg.bin] Took 0.104384 ms.
[frame_272.zeroDeg.bin] Took 0.104224 ms.
[frame_273.zeroDeg.bin] Took 0.108352 ms.
[frame_274.zeroDeg.bin] Took 0.118016 ms.
[frame_275.zeroDeg.bin] Took 0.104448 ms.
[frame_276.zeroDeg.bin] Took 0.104352 ms.
[frame_277.zeroDeg.bin] Took 0.099840 ms.
[frame_278.zeroDeg.bin] Took 0.104480 ms.
[frame_279.zeroDeg.bin] Took 0.114656 ms.
[frame_280.zeroDeg.bin] Took 0.103616 ms.
[frame_281.zeroDeg.bin] Took 0.103232 ms.
[frame_282.zeroDeg.bin] Took 0.104640 ms.
[frame_283.zeroDeg.bin] Took 0.122656 ms.
[frame_284.zeroDeg.bin] Took 0.103520 ms.
[frame_285.zeroDeg.bin] Took 0.099680 ms.
Took 68.976868 ms to process 286 frames.
ms per Frame: 0.241178, FPS: 4146.317871.
Used GPU implementation.
